metric,k,f1_macro_mean,f1_macro_std,auc_macro_ovr_mean,auc_macro_ovr_std,top_1_mean,top_1_std,top_3_mean,top_3_std,top_5_mean,top_5_std
cosine,1,0.6755476967964019,0.03507533347620155,0.8235588980007845,0.01953742519106984,0.7105212355212356,0.037345582314452085,0.771476833976834,0.03201748033744917,0.8503619691119692,0.032294507058854546
cosine,2,0.6755476967964019,0.03507533347620155,0.8856245299946744,0.02084172494588336,0.7105212355212356,0.037345582314452085,0.8566039253539254,0.034766409929108684,0.9049951737451737,0.03449102941196971
cosine,3,0.7158575192603986,0.020924707071539827,0.9159584731908275,0.022452920553591098,0.7499517374517375,0.025316966542347132,0.8986808236808237,0.03302526693378756,0.9264800514800514,0.031758212803860326
cosine,4,0.735329370987644,0.02911606665742942,0.9267900967899312,0.01674746749049039,0.7642696267696267,0.028617350391359694,0.9058719433719433,0.027686600126311304,0.9372425997425997,0.020416671392116045
cosine,5,0.7613450317157756,0.03827703417643199,0.9371253490491819,0.018579622425455623,0.7893822393822394,0.031181555402538415,0.9148487773487775,0.02948893334079555,0.9489221364221363,0.022806225276715605
cosine,6,0.7745404534767286,0.03771217585955762,0.9471561584764874,0.015106526399807346,0.8001367438867438,0.029005579096662154,0.9265202702702702,0.031051111405108602,0.9560730373230374,0.01499333148494129
cosine,7,0.7732512482276371,0.042063703509714404,0.9548187846519438,0.015437690119382058,0.8010537323037324,0.03177082025856798,0.9328024453024453,0.027417121727059082,0.9677123552123554,0.01755355333279521
cosine,8,0.7832767573837061,0.033510126676624674,0.9570341856030783,0.013806449458434135,0.808212676962677,0.028379005871714106,0.938167631917632,0.024074156925727678,0.9677284427284428,0.015336662211315494
cosine,9,0.7867547931516061,0.03282730993190064,0.9588826065980023,0.015359130429409769,0.8073278635778636,0.026692434024191365,0.9390604890604892,0.023074331546363805,0.9695222007722009,0.015334489384365631
cosine,10,0.7740149052145944,0.04868473282423149,0.9589056405589016,0.01513897206528033,0.8036920849420849,0.037442505686951455,0.9444498069498068,0.020571034682066017,0.9686293436293438,0.014767447937687781
cosine,11,0.7674007676990321,0.04613468343134128,0.9607183456483034,0.013184764075676982,0.7983268983268984,0.036868790185538645,0.9444417631917632,0.020170864510152018,0.9677364864864867,0.012823703080426794
cosine,12,0.771231559349536,0.03900129950070946,0.9608778979756796,0.012639114807299767,0.8028233590733592,0.0333579310917383,0.9426721364221367,0.02351078089604002,0.9695382882882886,0.010472002981806956
cosine,13,0.773247842835014,0.03536268953811415,0.9610504067146556,0.01232363281665412,0.8064028314028313,0.03341008253547199,0.9444417631917632,0.02061309848516229,0.9686454311454312,0.011316207803019297
cosine,14,0.7642609661406958,0.04112034803079281,0.9638230717544941,0.012064263088130021,0.7992277992277992,0.034512815386921455,0.9426480051480051,0.021204759340521604,0.973109716859717,0.011165352372230706
cosine,15,0.7684501648512184,0.03185458617895982,0.9656580776698114,0.010969752891236455,0.7992277992277994,0.030966274638568415,0.9435328185328185,0.019874793412418313,0.9749115186615187,0.010977721061842218
