metric,best_k,auc_macro_ovr_mean,f1_macro_mean,top_1_mean,top_3_mean,top_5_mean
euclidean,15,0.9550505288201533,0.7370034058166965,0.7615669240669242,0.9166425353925355,0.9695141570141571
cosine,15,0.9656580776698114,0.7684501648512184,0.7992277992277994,0.9435328185328185,0.9749115186615187
